name,bin_type_code,material,weight,rinse,special_instructions
wooden chopsticks,C,wooden,,f,
coffee stirrer,C,wooden,,f,
toothpick,C,wooden,,f,
clean wood ,C,wood,,f,
sawdust,C,wood,,f,
hair,C,natural,,f,
fur,C,natural,,f,
feathers,C,natural,,f,
cork (not plastic),C,natural,,f,
cotton balls,C,cotton,,f,
cotton swabs with paper stem,C,cotton,,f,
cooking grease,C,organic,,f,
cat litter,T,organic matter,,f,
animal feces,T,organic matter,,f,bagged. 
ceramic dishware,T,ceramic,,f,
cigarette butts,T,mixed,,f,run under water prior to disposal. 
dental floss,T,mixed,,f,
diaper,T,mixed,,f,
feminine hygiene products,T,mixed,,f,
glass mirror,T,glass,,f,place inside a double brown paper bag and smashed in small pieces. 
window,T,glass,,f,place inside a double brown paper bag and smashed in small pieces. 
incandescent light bulbs,T,mixed,,f,no fluorescents or HIDs. 
plywood,T,mixed wood,,f,
press board,T,mixed wood,,f,
painted wood,T,mixed wood,,f,
stained wood,T,mixed wood,,f,
twist ties,T,mixed,,f,
styrofoam,T,styrofoam,,f,
sponges,T,mixed,,f,
six-pack ring holder,T,plastic,,f,please cut up. 
rubber band,T,rubber,,f,
biodegradable plastic,T,mixed,,f,
plastic items mixed with rubber,T,mixed,,f,
plastic items mixed with metal,T,mixed,,f,
pen,T,mixed,,f,
pencil,T,mixed,,f,
mylar (shiny metal) bag,T,mixed,,f,
potato chip bag,T,mixed,,f,
candy bar wrapper,T,mixed,,f,
balloon,T,mixed,,f,
AA/AAA battery,H,mixed,0.1,f,Put small household batteries into a clear plastic bag on top of black bin the day before your collection day. Please tape both ends of all lithium batteries. 
Solidified oil (bacon grease or lard),C,organic,,f,
Cooking oil,H,organic,,f,Drop off up to 10 gallons/customer of cooking oil in 5 gallon containers at the SF Household Hazardous Waste Facility. 
Medication,H,other,,f,Drop off medications for safe handling at any San Francisco police station. 
Paint,H,other,,f,Drop off paint at the SF transfer station household hazardous waste facility. 
Sharps,H,other,,f,"Pick up a free sharps container at any Walgreens pharmacy. When full, just return it to Walgreens for proper management. "
Motor Oil,H,hazardous,,f,
Fluorescent Tubes/Lamps,H,hazardous,,f,
Printing ink,H,hazardous,,f,
Solvents,H,hazardous,,f,
Compressor oil,H,hazardous,,f,
Photofixer/developer,H,hazardous,,f,
Poisons,H,hazardous,,f,
Antifreeze,H,hazardous,,f,
Propane,H,hazardous,,f,
